句子,喜歡,憤怒,難過,驚訝,害怕,無表情
草綠了,0,0,0,0,0,1
春天就來了。」,0,0,0,0,0,1
第八課 烏鴉喝水,0,0,0,0,0,1
有一隻愛唱歌的烏鴉,0,0,0,0,0,1
唱得口渴了。,0,0,0,0,0,1
烏鴉正想找水喝的時候,0,0,0,0,0,1
看見了一個水瓶,0,0,0,0,0,1
他很高興。,1,0,0,0,0,0
可是再看看,0,0,0,0,0,1
水瓶裡只有一點點水,0,0,0,0,0,1
瓶口又小,0,0,0,0,0,1
他喝不到瓶裡的水。,0,0,0,0,0,1
小烏鴉,0,0,0,0,0,1
想出了一個法子,0,0,0,0,0,1
他把許多小石子,0,0,0,0,0,1
放到水瓶裡。,0,0,0,0,0,1
水瓶裡的水升高了,0,0,0,0,0,1
烏鴉就喝到水了。,0,0,0,0,0,1
第六課 種樹,0,0,0,0,0,1
有一天,0,0,0,0,0,1
爸爸對我們,0,0,0,0,0,1
說：「種樹很重要,0,0,0,0,0,1
我們一起來種樹吧！」,0,0,0,0,0,1
爸爸種的是松樹,0,0,0,0,0,1
他說松樹不怕風雨,0,0,0,0,0,1
活得長。,0,0,0,0,0,1
我種了山茶花,0,0,0,0,0,1
山茶花很好看。,0,0,0,0,0,1
弟弟要種香蕉,0,0,0,0,0,1
他說香蕉最好吃。,0,0,0,0,0,1
媽媽說：「你們種樹,0,0,0,0,0,1
我來澆水。樹很快就會長得高又大。」,0,0,0,0,0,1
第十一課 你的歌聲真好聽,0,0,0,0,0,1
有一隻小烏鴉找到一塊肉,0,0,0,0,0,1
他叼著這塊肉,0,0,0,0,0,1
飛到一棵大樹上,0,0,0,0,0,1
小烏鴉正要吃這塊肉時,0,0,0,0,0,1
被樹下的狐狸看到了。,0,0,0,0,0,1
狐狸也想吃那塊肉,0,0,0,0,0,1
就對烏鴉說：「烏鴉姑娘,0,0,0,0,0,1
聽說你的歌聲很好聽,0,0,0,0,0,1
你可以唱歌給我聽嗎？」,0,0,0,0,0,1
烏鴉聽到狐狸說他的歌聲很好聽,0,0,0,0,0,1
心裡很高興,1,0,0,0,0,0
就開口唱歌,0,0,0,0,0,1
想不到一開口,0,0,0,0,0,1
口裡叼著的肉就掉到樹下了,0,0,0,0,0,1
聰明的狐狸高興的叼著肉走了。,1,0,0,0,0,0
第十三課 小蝸牛,0,0,0,0,0,1
我是一隻小蝸牛,0,0,0,0,0,1
我有一個可愛的家。,0,0,0,0,0,1
我的家小小的,0,0,0,0,0,1
只有一個房間。,0,0,0,0,0,1
想請你進來坐坐,0,0,0,0,0,1
可是沒地方。,0,0,0,0,0,1
我每天辛苦的背著小房子走路,0,0,0,0,0,1
我背著小房子爬樹,0,0,0,0,0,1
我背著小房子找食物。,0,0,0,0,0,1
下雨了,0,0,0,0,0,1
我也躲在我的小房子裡,0,0,0,0,0,1
我一直和我的小房子在一起。,0,0,0,0,0,1
我天天背著我的家,0,0,0,0,0,1
我愛我的家。,0,0,0,0,0,1
第十二課 過橋,0,0,0,0,0,1
橋的這一頭,0,0,0,0,0,1
有一隻白狗。,0,0,0,0,0,1
橋的那一頭,0,0,0,0,0,1
有一隻黑狗。,0,0,0,0,0,1
白狗要過橋,0,0,0,0,0,1
黑狗也要過橋。,0,0,0,0,0,1
誰都不讓誰,0,0,0,0,0,1
誰也不肯退後。,0,0,0,0,0,1
兩隻狗打起來,0,1,0,0,0,0
都掉到河裡去了。,0,0,0,0,0,1
橋的東邊,0,0,0,0,0,1
有一隻白羊。,0,0,0,0,0,1
橋的西邊,0,0,0,0,0,1
有一隻黑羊。,0,0,0,0,0,1
白羊要過橋,0,0,0,0,0,1
黑羊也要過橋。,0,0,0,0,0,1
兩隻羊走到橋中間,0,0,0,0,0,1
白羊退回去,0,0,0,0,0,1
讓黑羊先過橋。,0,0,0,0,0,1
白羊等黑羊過了橋,0,0,0,0,0,1
再走過去,0,0,0,0,0,1
兩隻羊都過橋了。,0,0,0,0,0,1
第十五課 嘟嘟車,0,0,0,0,0,1
放假了,0,0,0,0,0,1
我們全家去曼谷玩,0,0,0,0,0,1
在曼谷的叔叔開車來接我們。,0,0,0,0,0,1
我看到路上有一種車,0,0,0,0,0,1
只有三個輪子。我好奇的問叔叔：「那是什麼車？」,0,0,0,0,0,1
叔叔說：「那是嘟嘟車。」,0,0,0,0,0,1
我又問：「誰可以坐嘟嘟車啊？」,0,0,0,0,0,1
叔叔笑著說：「如果我沒開車來接你們,1,0,0,0,0,0
你們就可以坐嘟嘟車來我家了。」,0,0,0,0,0,1
妹妹高興的說：「以後叔叔你不要來接我們,1,0,0,0,0,0
我們就可以坐嘟嘟車了。」,0,0,0,0,0,1
第十四課 兒歌—打電話,0,0,0,0,0,1
第一通電話打給你,0,0,0,0,0,1
告訴你今天好天氣,0,0,0,0,0,1
金色陽光照著大地。,0,0,0,0,0,1
第二通電話打給你,0,0,0,0,0,1
好想找你去公園,0,0,0,0,0,1
一起散步在公園裡。,0,0,0,0,0,1
第三通電話打給你,0,0,0,0,0,1
讓你知道我正在想你,0,0,0,0,0,1
你也要把我放在你心裡。,0,0,0,0,0,1
第十課 可愛的猴子,0,0,0,0,0,1
今天放假,0,0,0,0,0,1
爸爸帶我和弟弟去動物園。,0,0,0,0,0,1
我在動物園門口,0,0,0,0,0,1
碰到了幾個朋友,0,0,0,0,0,1
他們也來看動物。,0,0,0,0,0,1
在動物園裡,0,0,0,0,0,1
我看到可愛的山羊、高大的水牛,0,0,0,0,0,1
還看到許多小猴子在樹上跳,0,0,0,0,0,1
來跳去。,0,0,0,0,0,1
小猴子喜歡學人的動作,1,0,0,0,0,0
弟弟摸摸頭,0,0,0,0,0,1
小猴子也摸摸頭,0,0,0,0,0,1
弟弟拍拍手,0,0,0,0,0,1
小猴,0,0,0,0,0,1
子也拍拍手,0,0,0,0,0,1
弟弟行禮,0,0,0,0,0,1
小猴子也學著行禮。,0,0,0,0,0,1
弟弟說：「小猴子真是可愛。」,0,0,0,0,0,1
第四課 美麗的彩虹,0,0,0,0,0,1
下過雨,0,0,0,0,0,1
太陽出來了,0,0,0,0,0,1
天空出現了一道彩虹。,0,0,0,0,0,1
美麗的虹,0,0,0,0,0,1
彎彎的,0,0,0,0,0,1
像一座橋。,0,0,0,0,0,1
彎彎的彩虹上,0,0,0,0,0,1
有許多顏色。,0,0,0,0,0,1
美麗的虹,0,0,0,0,0,1
一共有七種顏,0,0,0,0,0,1
色,0,0,0,0,0,1
是一座七色的橋。,0,0,0,0,0,1
彩虹真漂亮,0,0,0,0,0,1
我要趕快把,0,0,0,0,0,1
美麗的彩虹畫下來。,0,0,0,0,0,1
第一課 開學,0,0,0,0,0,1
開學了,0,0,0,0,0,1
同學們都回到學校上課,0,0,0,0,0,1
大家一看到老師,0,0,0,0,0,1
都向老師合掌行禮,0,0,0,0,0,1
老師很高興的說：「好久不見,1,0,0,0,0,0
你們都長高了。」,0,0,0,0,0,1
這學期班上來了兩個新同學,0,0,0,0,0,1
老師要我們多幫助他們,0,0,0,0,0,1
讓他們在新學校快樂的學習,1,0,0,0,0,0
我們聽了都拍手歡迎新同學,0,0,0,0,0,1
新學期,0,0,0,0,0,1
我有新希望。我希望能和同學一起讀書,0,0,0,0,0,1
一起遊戲,0,0,0,0,0,1
大家成為好朋友。,0,0,0,0,0,1
第七課 泰國的國旗,0,0,0,0,0,1
有一天,0,0,0,0,0,1
爸爸帶我去上學,0,0,0,0,0,1
我看到路的兩旁插滿了國旗。,0,0,0,0,0,1
爸爸問：「你知道這是哪一國的國旗嗎？」,0,0,0,0,0,1
「當然知道,0,0,0,0,0,1
這是泰國的國旗。」,0,0,0,0,0,1
爸爸說：「我們的國旗有三種顏色,0,0,0,0,0,1
這三種顏色有不同的意思。藍色是指國王,0,0,0,0,0,1
白色是指宗教,0,0,0,0,0,1
紅色是指國家和人民。」,0,0,0,0,0,1
我對爸爸說： 「我覺得泰國的國旗,0,0,0,0,0,1
是最漂亮的國旗。」,0,0,0,0,0,1
第三課 畫一張畫,0,0,0,0,0,1
有一天,0,0,0,0,0,1
爸爸帶我去山上工作。,0,0,0,0,0,1
爸爸對我說：「你可以帶彩色筆去山上畫畫。」,0,0,0,0,0,1
我站在山上,0,0,0,0,0,1
看到高高低低的山,0,0,0,0,0,1
真是好看！,0,0,0,0,0,1
有時白雲飄過來,0,0,0,0,0,1
有一半的山在雲的上面,0,0,0,0,0,1
有一半的山在雲的下面。,0,0,0,0,0,1
我從山上向下看,0,0,0,0,0,1
山下的河流變小了,0,0,0,0,0,1
房屋也變小了。,0,0,0,0,0,1
我畫了一張畫,0,0,0,0,0,1
畫裡有山,0,0,0,0,0,1
有河,0,0,0,0,0,1
還有房子,0,0,0,0,0,1
我把大自然畫在紙上了。,0,0,0,0,0,1
第九課 時鐘,0,0,0,0,0,1
滴搭滴搭 滴搭滴搭,0,0,0,0,0,1
時鐘走不停,0,0,0,0,0,1
日夜不休息。,0,0,0,0,0,1
兩根針,0,0,0,0,0,1
有長短,0,0,0,0,0,1
長針走得快,0,0,0,0,0,1
短針走得慢。,0,0,0,0,0,1
時間一過去,0,0,0,0,0,1
再也不回頭。,0,0,0,0,0,1
滴搭滴搭 滴搭滴搭,0,0,0,0,0,1
時鐘走不停,0,0,0,0,0,1
日夜不休息。,0,0,0,0,0,1
我們要努力,0,0,0,0,0,1
一分一秒要愛惜。,0,0,0,0,0,1
第二課 太陽,0,0,0,0,0,1
勤勞的太陽,0,0,0,0,0,1
天天忙著做事,0,0,0,0,0,1
一天也不休息。,0,0,0,0,0,1
春天太陽照在花兒上,0,0,0,0,0,1
花兒開得更美麗。,0,0,0,0,0,1
夏天太陽照在稻子上,0,0,0,0,0,1
稻子長得更高大。,0,0,0,0,0,1
秋天太陽照在果樹上,0,0,0,0,0,1
果子熟得更快了。,0,0,0,0,0,1
冬天的太陽,0,0,0,0,0,1
照在小花貓的身上,0,0,0,0,0,1
小花貓睡得更香甜了。,0,0,0,0,0,1
第五課 小蜘蛛,0,0,0,0,0,1
有一隻小蜘蛛,0,0,0,0,0,1
在樹上結了一面網。,0,0,0,0,0,1
清早蜘蛛網上有許多水珠,0,0,0,0,0,1
每一顆水珠都像珍珠一樣閃閃發光。,0,0,0,0,0,1
有一隻蚊子飛來飛去,0,0,0,0,0,1
一不小心飛到蜘蛛網上。,0,0,0,0,0,1
蜘蛛網抓住了蚊子的腳,0,0,0,0,0,1
蚊子一動也不動,0,0,0,0,0,1
停在蜘蛛網上。,0,0,0,0,0,1
有一隻小蜜蜂,0,0,0,0,0,1
飛到蜘蛛網前,0,0,0,0,0,1
看見蚊子被抓住趕忙飛走了。,0,0,0,0,0,1
蜘蛛網抓住了蚊子的腳 蚊子一動也不動停在蜘蛛網上。,0,0,0,0,0,1
有一隻小蜜蜂 飛到蜘蛛網前 看見蚊子被抓住 趕忙飛走了。,0,0,0,0,0,1
第八課 送給媽媽的禮物,0,0,0,0,0,1
母親節快到了,0,0,0,0,0,1
我和姐姐想送給媽媽一樣禮物,0,0,0,0,0,1
但是我們不知道要送什麼禮物給媽媽。,0,0,0,0,0,1
爸爸說：「只要是自己做的禮物,0,0,0,0,0,1
媽媽就會喜歡。」,1,0,0,0,0,0
我和姐姐做了一張卡片,0,0,0,0,0,1
還在卡片上寫了幾個字：,0,0,0,0,0,1
親愛的媽媽：,0,0,0,0,0,1
您教我們讀書,0,0,0,0,0,1
教我們寫字,0,0,0,0,0,1
我們非常感謝您。,0,0,0,0,0,1
祝您母親節快樂！,1,0,0,0,0,0
女兒 小愛 小美 敬上,0,0,0,0,0,1
8月12日,0,0,0,0,0,1
媽媽看到我們做的母親節卡片非常高興,1,0,0,0,0,0
她喜歡我們送的禮物。,1,0,0,0,0,0
第六課 井裡一隻蛙,0,0,0,0,0,1
一隻青蛙住在一口又深又黑的井裡。,0,0,0,0,0,1
青蛙在井裡每天抬起頭來,0,0,0,0,0,1
看到的只是一個圓圓的小天空,0,0,0,0,0,1
他以為天只有這麼大。,0,0,0,0,0,1
有一天,0,0,0,0,0,1
一隻小鳥停在井口。,0,0,0,0,0,1
小鳥喘著氣說：「我飛了好久,0,0,0,0,0,1
好累喔！」,0,0,0,0,0,1
青蛙說：「天只有那麼大,0,0,0,0,0,1
你為什麼會累呢？」,0,0,0,0,0,1
小鳥看了看井裡的青蛙說：「你住在井裡,0,0,0,0,0,1
沒有看見外面的世界,0,0,0,0,0,1
你知道外面的世界有多美麗嗎？你應該跳出來,0,0,0,0,0,1
看一看外面的世界。」,0,0,0,0,0,1
第十一課 鵝媽媽真漂亮,0,0,0,0,0,1
鵝媽媽真漂亮,0,0,0,0,0,1
頭上戴著黃帽子,0,0,0,0,0,1
身上穿著白衣裳。,0,0,0,0,0,1
鵝媽媽真漂亮,0,0,0,0,0,1
游起水來身子挺得直,0,0,0,0,0,1
走起路來脖子伸得長。,0,0,0,0,0,1
鵝寶寶,0,0,0,0,0,1
游到媽媽身旁說：,0,0,0,0,0,1
「媽媽你真漂亮,0,0,0,0,0,1
什麼時候我才能像你一樣？」,0,0,0,0,0,1
媽媽說：「不急,0,0,0,0,0,1
不急,0,0,0,0,0,1
等你長大了,0,0,0,0,0,1
就會像我一樣漂亮。」,0,0,0,0,0,1
第十三課 不學寫字有壞處,0,0,0,0,0,1
小蟲寫信給螞蟻,0,0,0,0,0,1
他在葉子上,0,0,0,0,0,1
咬了三個洞,0,0,0,0,0,1
表示「我想你」。,0,0,0,0,0,1
螞蟻收到他的信,0,0,0,0,0,1
也在葉子上,0,0,0,0,0,1
咬了三個洞,0,0,0,0,0,1
表示「看不懂」。,0,0,0,0,0,1
小蟲不知道螞蟻的意思,0,0,0,0,0,1
螞蟻不知道小蟲的想念。,0,0,0,0,0,1
不知道怎麼辦？,0,0,0,0,0,1
第十二課 去外婆家,0,0,0,0,0,1
外婆家種了很多橘子樹。,0,0,0,0,0,1
到了秋天,0,0,0,0,0,1
橘子樹上結了許多小橘子。,0,0,0,0,0,1
小橘子先是綠色的,0,0,0,0,0,1
綠色的小橘子在綠色的葉子保護下慢慢長大。,0,0,0,0,0,1
過了幾個月,0,0,0,0,0,1
橘子就會變黃,0,0,0,0,0,1
等橘子黃了,0,0,0,0,0,1
就可以吃了。,0,0,0,0,0,1
外婆家還有一個茶園,0,0,0,0,0,1
我們把採下的茶葉放在院子裡晒乾,0,0,0,0,0,1
用晒乾的茶葉泡茶,0,0,0,0,0,1
房裡就飄著茶葉的香味。,0,0,0,0,0,1
我喜歡去外婆家,1,0,0,0,0,0
因為那裡有很多好玩的地方。,0,0,0,0,0,1
第十五課 到佛寺拜拜,0,0,0,0,0,1
星期日早上,0,0,0,0,0,1
媽媽帶我和妹妹去拜拜。,0,0,0,0,0,1
媽媽說：「拜拜時,0,0,0,0,0,1
衣服要穿整齊。」,0,0,0,0,0,1
到了佛寺,0,0,0,0,0,1
我看見來拜拜的人都穿得整整齊齊,0,0,0,0,0,1
沒有人穿短褲,0,0,0,0,0,1
也沒有人穿拖鞋。,0,0,0,0,0,1
進佛寺裡要脫鞋子,0,0,0,0,0,1
大家光著腳走進去,0,0,0,0,0,1
再合掌拜拜。,0,0,0,0,0,1
我看到佛祖全身金光閃閃,0,0,0,0,0,1
一臉和氣的樣子,0,0,0,0,0,1
使我很感動。,1,0,0,0,0,0
我跟著大家雙手合掌,0,0,0,0,0,1
希望佛祖保護大家,0,0,0,0,0,1
讓大家平安、快樂。,1,0,0,0,0,0
第十四課 神奇的線,0,0,0,0,0,1
上課的時候,0,0,0,0,0,1
老師在黑板上畫了一條直線,0,0,0,0,0,1
接著問大家：「你們想一想,0,0,0,0,0,1
這一條線可以變成什麼？」,0,0,0,0,0,1
小方先舉手說：「老師,0,0,0,0,0,1
這一條線可以變成一隻大手,0,0,0,0,0,1
把天上的仙桃摘下來！」,0,0,0,0,0,1
小亮接著說：「我想這一條線可以變成一座城堡,0,0,0,0,0,1
裡面有大巨人,0,0,0,0,0,1
也有小矮人,0,0,0,0,0,1
他們一起玩遊戲。」,0,0,0,0,0,1
最後小美說：「我想把這一條線變成一條小河,0,0,0,0,0,1
讓大家聽到小河快樂的歌聲。」,1,0,0,0,0,0
老師聽了很滿意的說：「你們變得真好！」,1,0,0,0,0,0
第十課 愛惜光陰,0,0,0,0,0,1
有一天,0,0,0,0,0,1
小方問老師：「古時候沒有時鐘,0,0,0,0,0,1
他們怎麼知道時間呢？」,0,0,0,0,0,1
老師說,0,0,0,0,0,1
古時候的人很聰明,0,0,0,0,0,1
他們想知道時間,0,0,0,0,0,1
就把一根竹竿立在地上,0,0,0,0,0,1
陽光移動的時候,0,0,0,0,0,1
竹竿的影子就會跟著移動。他們看到竹竿影子的長短,0,0,0,0,0,1
就知道時間的早晚了。,0,0,0,0,0,1
古人利用影子看時間,0,0,0,0,0,1
看到陰影移動,0,0,0,0,0,1
就知道時間過去了,0,0,0,0,0,1
所以時間也叫「光陰」。,0,0,0,0,0,1
老師對我們說：「影子移動得很快,0,0,0,0,0,1
大家一定要愛惜光陰,0,0,0,0,0,1
努力學習。」,0,0,0,0,0,1
第四課 童詩兩首,0,0,0,0,0,1
(一),0,0,0,0,0,1
走走走　向前走,0,0,0,0,0,1
