一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
主旨 主要的意旨，大旨，現代公文中的一項，用於說明行文的主要意旨，，主旨
主權 獨立自主，完全由自己支配的權力，近代構成國家的四要素之一，是國家至高無上的政治權力，對內具有排外的管轄權，　對外則有不受他國干涉的權力，，主權
主流 一水系中，匯集各支流的主要河川，也作「本流」、「幹流」，事物發展的主要方向，控制事物發展方向的人物，，主流
主管 負責管理，主持事務，負有專責的人，，主管
主義 對事物或原理的基本主張，是一種觀念和信仰的形態，可形成一股思潮或學說，如資本主義、寫實主義，，主義
主要 最重要的，重要，，主要
主見 確定的主張或辦法，」也作「主意」，主意，，主見
主觀 根據自己的認知對事物作判斷，而不求符合實際狀況，屬於認識的主體，相對於客觀而言，，主觀
主角 文藝作品或戲劇、電影等表演中的主要角色，主要人物，，主角
主軸 礦物學上稱正方及六方晶系的垂直軸，物理學上指通過透鏡光心而垂直於鏡面的直線，或指通過球面鏡曲率中心和鏡心的直　線，機械工程上指電動機或發動機接受動力，並將之傳給其他機件的軸，，主軸
主辦 主持辦理，主理，主持、辦理事務的人，，主辦
主題 主要論點，文藝作品中所欲表現的中心思想，音樂上指樂曲中顯著而富有特色的主要旋律，為一樂曲的核心，亦為樂曲發展的要素　，有些大曲因包含數個主題，而分第一主題、第二主題等，，主題
乃 你、你的，他、他的，是，然後、於是，卻，而，若、如果，竟、居然，才、始，語助詞，用於發語或轉折，，乃
久 時間長遠，經歷時間的長短，舊的，留、滯留，，久
之 的、底，於，諸、之於，與、及，而，若、如果，則，用於強調或補足語氣，無義，他、彼，其、他的，此、這個，往，如唐朝李白有〈黃鶴樓送孟浩然之廣陵〉詩，至、到，是、為，取用，姓，如漢代有之馬宇，，之
之前 表示某個時間以前的連詞，，之前
之後 表示某個時間以後的連詞，，之後
乒乓球 桌球的別名，參見「桌球」條，乒乓球比賽所使用的球，為圓形，直徑三點八公分，重二點五公克，以賽璐珞或類似的塑料製成，呈白色或黃色，無光澤，，乒乓球
乖 彆扭、性情怪異，形容懂事、聽話，違背、不合，分離，聰明、機伶，，乖
乘 登、升，駕馭、駕騎，搭坐，用某種交通工具代步，順應、趁、藉著，追逐、進攻，在數與數之間進行乘法運算，數學上的運算方法之一，即乘法，姓，如漢代有乘弘，量詞，古代計算車輛的單位，史書，佛教用語，本是車乘之意，用來譬喻教法，以其能載修行者到達解脫的境界，，乘
乘客 搭乘車、船、飛機等交通工具的人，搭客,旅客，，乘客
乙 天干的第二位，姓，如明代有乙瑄，二一四部首之一，人或地的代稱，次序或等級屬於第二的，，乙
九 介於八與十之間的自然數，」大寫作「玖」，阿拉伯數字作 「9」，姓，如唐代有九嘉，形容極多，表示多數、多次，，九
乞丐 請求給與，靠討飯、要錢過活的人，托缽人﹑叫花子，，乞丐
也 表示判斷或肯定的語氣，表示疑問的語氣，表示感嘆的語氣，用來引起下文，數事並舉而論時用，置於句中，以調整音節語氣，表示或者、還是，用於句中，表示停頓語氣，同樣，強調兩事並列，表示強調，表示轉折，表示委婉、讓步，，也
也好 表示雖然與自己的原意不同，但是還可以同意的助詞，亦好，表示在所列舉的情況下，其結果都不改變，如 :「讀書也好，運動也好，都不可偏廢  ，」，也好
也許 可能、說不定，大概,可能,或者，，也許
乾 卦形是☰，代表天、陽等之義，(2)六十四卦之一，乾（☰）下乾（☰）上，象徵君子應自強不息，努力永不懈怠之義，姓，如唐代有乾彥思，陽剛的、男性的，沒有水分或缺乏水分的，與「溼」相對，枯竭，聲音清脆響亮，結拜認來的親屬關係，經脫水加工製成的乾燥食品，變乾燥，竭盡、乾涸，怠慢、置之不理，沒有剩餘，徒然、白白的，表面的、形式的，，乾
乾杯 飲盡杯中的飲料，，乾杯
乾淨 清潔，清潔，沒有剩餘，簡直、完全，了結、完結，形容事情處理圓滿，形容人長相清秀，沒有發生事情，男女關係清白，原來是， 乾脆，，乾淨
乾燥 缺乏水分，，乾燥
乾脆 爽快、簡捷，」也作「甘脆」，痛快，索性，，乾脆
亂 無條理秩序的，煩雜、不安寧，動盪、不安定，有秩序、能治理的，叛變、造反的行為，古代樂曲的最後一章，混淆，破壞、改變，男女發生不正當的行為，任意、隨便，很、非常，，亂
了 明白、懂得，完畢、結束，完全，與否定語「不」、「無」等連用，有「一點也不……」的意思，與「得」、「不」等連用，表示可能或不可能，聰明、慧黠，置於動詞後，表示動作的結束，置於句末或句中停頓處，表示不耐煩、勸止等意思，，了
了不起 傑出，超乎尋常，了不得，至多也不過，表示極限之意，，了不起
了解 明白、清楚，明白,明瞭,理解,領略,領會,知道,認識　2.打聽，探問，，了解
予 我，給，贊許，，予
予以 給予，給予,賜與，，予以
事 工作、職務，人類所作所為及自然界的一切現象、活動，都稱為「事」，變故，侍奉，做、為，插入，，事
事件 事情、事項，事變,事故,事情,事項，物品、器具，鳥獸類的腸、胃、臟、腑等物，，事件
事先 事情發生之前，」也作「事前」，事前，，事先
事前 處理事務之前，或事情發生之前，」也作「事先」，，事前
事務 事情、雜務，事情，，事務
事宜 事情的機宜，事情，事情，，事宜
事實 事情的真實情形，究竟,真相，，事實
事情 事物的實際情形，人類所作所為及自然界的一切現象或活動，事件,事宜,事務，處事的道理及人情事故，，事情
事態 事情的情況，局勢，，事態
事故 變故或意外災禍，事變,事件，，事故
事業 做事、創業有成，有條理、規模且有益於公眾的事，，事業
事物 客觀存在於自然界的一切物體或現象，先世以來，不屬人類，（生末）是甚事物？」也作「物事」，，事物
事變 世事的變化，政治或軍事上突然發生的重大變故，變亂,事故,事件，，事變
二 介於一和三之間的自然數，」大寫作「貳」，阿拉伯數字作「2」，二一四部首之一，次序排第二的，不專一的、兩樣的，改變，並比，，二
于 去、往，取，在，以、用，對、對於，至、到，依照，為了，和、與，用於句首或句中，無義，用於句尾，表示疑問的語氣，姓，如明代有于謙，表示感嘆的意思，，于
互助 互相幫助，協作，，互助
互動 相互感應，社會分子間互相感應的行為過程，如合作、競爭、衝突等，，互動
互惠 國際間根據平等原則締結通商條約，兩方面以同等利益互相交換，給予優惠待遇，，互惠
互相 彼此以同樣的態度或行為對待對方，彼此,相互，，互相
互補 彼此互為補充，，互補
五 介於四與六之間的自然數，」大寫作「伍」，阿拉伯數字作「5」，姓，如漢代有五京，，五
五金 金、銀、銅、鐵、錫（或鉛）五種金屬，亦泛指各種金屬製品，，五金
井 為汲水而挖掘的深洞，像井的坑洞，人口聚居的地方，家鄉，周代田制以百畝為一井，參見「井田」條，《易經》卦名，六十四卦之一，巽（☴）下坎（☵）上，表示君子修德，終始無變之象，姓，如明代有井源，整齊的樣子，，井
亞洲 世界七大洲之一，位於東半球的東北部，參見「亞細亞洲」條，，亞洲
亞軍 比賽中得勝的第二名，，亞軍
亡國 國家滅亡，，亡國
交 足脛相交，縱橫錯雜，相接、接觸，來往、往來相好，兩性媾合，授與、付給，使得、使令，相會的時候或地方，朋友、友誼，買賣，筋斗、跟頭，姓，如周代有交父彝，雜合、一齊，互相、彼此，，交
交代 交互接替，移交、接替，交卸,移交　4.囑咐,吩咐，遞交、交給，囑咐、叮嚀，解釋、說明，完畢、完結，，交代
交友 交結朋友，相交，朋友，，交友
交往 交際往來，交遊，，交往
交情 人與人相互交往的情誼，一貧一富，乃知交態，一貴一賤，交情乃見，如有提起曹操與東吳軍旅之事者，即斬之！」也作「交誼」，情誼，，交情
交換 相互調換，調換,互換,換取,交流,相易，，交換
交易 本指交換、互換，後泛指買賣，貿易,生意，往來、交往，更換、更替，，交易
交流 江河匯合而流，一齊流下，來來往往，相互來往，彼此影響，交換，，交流
交涉 牽連、關聯，相互協商，以解決相關事項，談判，有待協商解決的問題，來往、接觸，，交涉
交談 互相談話，攀談，，交談
交貨 將貨物交付、轉讓給別人，，交貨
交通 通達無阻，交感、感應，溝通，往來、交往，勾結串通，汽車、船舶、飛機等各種運輸工具在陸地、水上或空中的往來，亦指信函、電報等來往，，交通
交錯 古時祭禮完成宴會時互相敬酒的禮儀，交叉錯雜，形容不斷來往，交替，，交錯
交際 人與人之間彼此往來、聚會應酬，酬酢,社交,應酬，會合，，交際
交集 各種情緒、事物同時出現，聚在一起，數學上指兩個或兩個以上的集合中共同元素所成的集合，，交集
亦 相當於「也」、「也是」，相當於「又」，只是、不過，已經，雖然，位於句首或句中，無義，姓，如明代有亦孔昭，，亦
