0,1,2,3,4
v1 + ul1 + m1 + 物1,v1 + ul1 + m1 + 什麼,看見了一個水瓶,看見了一個什麼,水瓶
人1 + vg1 + v1 + 物1 + f1 + uj1 + 物2,人1 + vg1 + v1 + 物1 + f1 + uj1 + 什麼,他喝不到瓶裡的水,他喝不到瓶裡的什麼,水
v1 + ul1 + m1 + 物1,v1 + ul1 + m1 + 什麼,學會了很多詞語,學會了很多什麼,詞語
人1 + p1 + 地1 + s1,誰 + p1 + 地1 + s1,我在動物園門口,誰在動物園門口,我
人1 + d1 + u1 + 物1,人1 + d1 + u1 + 什麼,他們也來看動物,他們也來看什麼,動物
a1 + 人1 + v1 + v2 + 人2 + uj1 + n1,a1 + 人1 + v1 + v2 + 誰 + uj1 + n1,小猴子喜歡學人的動作,小猴子喜歡學誰的動作,人
人1 + v1 + m1 + a1 + uj1 + 物1,人1 + v1 + m1 + a1 + uj1 + 什麼,我有一個可愛的家,我有一個可愛的什麼,家
人1 + v1 + a1 + 物1 + v2 + 物2,人1 + v1 + a1 + 物1 + v2 + 什麼,我背著小房子爬樹,我背著小房子爬什麼,樹
人1 + v1 + a1 + 物1 + v2 + 物2,人1 + v1 + a1 + 物1 + v2 + 什麼,我背著小房子找食物,我背著小房子找什麼,食物
v1 + 人1 + 時1 + a1 + n1,v1 + 人1 + 哪天 + a1 + n1,告訴你今天好天氣,告訴你哪天好天氣,今天
m1 + v1 + p1 + 地1 + f1,m1 + p1 + 地1 + f1 + 什麼,一起散步在公園裡,一起在公園裡什麼,公園
人1 + zg1 + r1 + v1 + o1 + 物1,人1 + zg1 + r1 + v1 + 什麼 + 物1,叔叔說那是嘟嘟車,叔叔說那是什麼車,車
n1 + 人1 + v1 + a1 + 事1,n1 + 人1 + v1 + a1 + 什麼,新學期我有新希望,新學期我有新什麼,希望
人1 + v1 + p1 + 地1 + v2 + z1 + uj1 + 物1,人1 + v1 + p1 + 哪裡 + v2 + z1 + uj1 + 物1,我站在山上看到高高低低的山,我站在哪裡看到高高低低的山,山上
地1 + uj1 + 物1 + v1 + ul1,地1 + uj1 + 什麼 + v1 + ul1,山下的河流變小了,山下的什麼變小了,河流
物1 + d1 + v1 + a1 + ul1,什麼 + d1 + v1 + a1 + ul1,房屋也變小了,什麼也變小了,房屋
人1 + v1 + ul1 + m1 + 物1,人1 + v1 + ul1 + m1 + 什麼,我畫了一張畫,我畫了一張什麼,畫
人1 + p1 + 物1 + v1 + p2 + 物2 + f1 + ul1,人1 + p1 + 什麼 + v1 + p2 + 物2 + f1 + ul1,我把大自然畫在紙上了,我把什麼畫在紙上了,大自然
人1 + p1 + p2 + s1 + v1,誰 + p1 + p2 + s1 + v1,小鵝跟在後頭走,誰跟在後頭走,小鵝
人1 + v1 + 物1 + v2 + v3,人1 + v1 + 什麼 + v2 + v3,小鵝看花不想走,小鵝看什麼不想走,花
人1 + v1 + m1 + 物1,人1 + v1 + m1 + 什麼,我有一個洋娃娃,我有一個什麼,洋娃娃
人1 + v1 + m1 + 物1,誰 + v1 + m1 + 物1,我有一個洋娃娃,誰有一個洋娃娃,我
物1 + a1,什麼 + a1,腿兒長長,什麼長長,腿兒
物1 + a1,什麼 + a1,眼睛大,什麼大,眼睛
時1 + 物1 + s1 + v1 + m1 + 物2,什麼時候 + 物1 + s1 + v1 + m1 + 物2,清早蜘蛛網上有許多水珠,什麼時候蜘蛛網上有許多水珠,清早
人1 + c1 + 人2 + v1 + ul1 + m1 + 物1,誰 + c1 + 人1 + v1 + ul1 + m1 + 物1,我和姐姐做了一張卡片,誰和我做了一張卡片,我
人1 + c1 + 人2 + v1 + ul1 + m1 + 物1,人1 + c1 + 誰 + v1 + ul1 + m1 + 物1,我和姐姐做了一張卡片,我和誰做了一張卡片,姐姐
物1 + v1 + a1,什麼 + v1 + a1,長針走得快,什麼走得快,長針
物1 + v1 + a1,什麼 + v1 + a1,短針走得慢,什麼走得慢,短針
人1 + v1 + a1 + 時1 + uj1 + 人2 + d1 + a2,誰 + v1 + a1 + 時1 + uj1 + 人2 + d1 + a2,老師說古時候的人很聰明,誰說古時候的人很聰明,老師
人1 + n1 + 物1 + v1 + 時1,人1 + n1 + 什麼 + v1 + 時1,古人利用影子看時間,古人利用什麼看時間,影子
v1 + n1 + v2 + 物1 + d1 + ud1 + d2,v1 + n1 + v2 + 什麼 + d1 + ud1 + d2,游起水來身子挺得直,游起水來什麼挺得直,身子
l1 + 物1 + v1 + ud1 + a1,l1 + 什麼 + v1 + ud1 + a1,走起路來脖子伸得長,走起路來什麼伸得長,脖子
ug1 + ul1 + m1 + n1 + 物1 + d1 + v1 + v2 + a1,ug1 + ul1 + m1 + n1 + 物1 + d1 + v1 + v2 + 如何,過了幾個月橘子就會變黃,過了幾個月橘子就會變如何,橘子
人1 + v1 + v2 + 地1,人1 + v1 + v2 + 哪裡,我喜歡去外婆家,我喜歡去哪裡,外婆家
人1 + v1 + p1 + 人2,人1 + v1 + p1 + 誰,小蟲寫信給螞蟻,小蟲寫信給誰,螞蟻
人1 + v1 + p1 + 人2,誰 + v1 + p1 + 人2,小蟲寫信給螞蟻,誰寫信給螞蟻,小蟲
人1 + v1 + 人2 + uj1 + 物1,誰 + v1 + 人2 + uj1 + 物1,螞蟻收到他的信,誰收到他的信,螞蟻
人1 + v1 + 人2 + uj1 + 物1,人1 + v1 + 人2 + uj1 + 什麼,螞蟻收到他的信,螞蟻收到他的什麼,信
p1 + 地1 + uj1 + 物1 + v1 + zg1,p1 + 地1 + uj1 + 什麼 + v1 + zg1,把天上的仙桃摘下來,把天上的什麼摘下來,仙桃
p1 + 地1 + uj1 + 物1 + v1 + zg1,p1 + 哪裡 + uj1 + 物1 + v1 + zg1,把天上的仙桃摘下來,把哪裡的仙桃摘下來,天上
人1 + v1 + 物1 + a1 + uj1 + n1,人1 + v1 + 誰 + uj1 + a1 + n1,大家聽到小河快樂的歌聲,大家聽到誰的快樂歌聲,大家
時1 + 時2,什麼時候 + 時2,星期日早上,什麼時候早上,星期日
人1 + v1 + 人2 + c1 + 人3 + v2 + v3,人1 + v1 + 人2 + c1 + 誰 + v2 + v3,媽媽帶我和妹妹去拜拜,媽媽帶我和誰去拜拜,妹妹
人1 + v1 + 人2 + c1 + 人3 + v2 + v3,誰 + v1 + 人2 + c1 + 人3 + v2 + v3,媽媽帶我和妹妹去拜拜,誰帶我和妹妹去拜拜,媽媽
v1 + ul1 + 地1,v1 + ul1 + 哪裡,到了佛寺,到了哪裡,佛寺
d1 + v1 + 人1 + v2 + 物1,d1 + v1 + 人1 + v2 + 什麼,也沒有人穿拖鞋,也沒有人穿什麼,拖鞋
人1 + v1 + 物1 + v2 + v3,人1 + v1 + 什麼 + v2 + v3,大家光著腳走進去,大家光著什麼走進去,腳
v1 + 人1 + v2 + 人2,v1 + 誰 + v2 + 人2,希望佛祖保護大家,希望誰保護大家,佛祖
人1 + v1 + v2,誰 + v1 + v2,大自然會說話,誰會說話,大自然
p1 + 人1 + v1 + 物1 + z1,p1 + 人1 + v1 + 物1 + 如何,當你看到天空潔淨,當你看到天空如何,天空
人1 + c1 + v1 + v2 + 事1,人1 + c1 + v1 + v2 + 什麼,你可以計畫去旅遊,你可以計畫去什麼,旅遊
d1 + v1 + d2 + v2 + 物1,d1 + v1 + d1 + v2 + 什麼,一邊拔草一邊玩泥土,一邊拔草玩什麼,泥土
人1 + v1 + 物1,誰 + v1 + 物1,爸爸舉起香,誰舉起香,爸爸
人1 + v1 + 物1,人1 + v1 + 什麼,爸爸舉起香,爸爸舉起什麼,香
v1 + an1 + 人1 + i1,v1 + an1 + 人1 + 如何,遇到困難我垂頭喪氣,遇到困難我如何,我
v1 + 人1 + 人2 + v2 + r1 + an1 + v3 + 人3 + v4 + v5 + 人4,v1 + 人1 + 人1 + 人2 + 人2 + v2 + r1 + v3 + 誰 + v4 + v5,告訴我你有什麼困難讓我來幫助你,告訴我你有什麼讓誰來幫助,我
人1 + uj1 + 物1 + v1 + 物2,人1 + uj1 + 物1 + v1 + 什麼,他的身體變成山脈,他的身體變成什麼,山脈
物1 + v1 + 物2,物1 + v1 + 什麼,骨頭變成石頭,骨頭變成什麼,石頭
人1 + v1 + 人2 + uj1 + 物1 + v2 + ul1 + m1 + v3,人1 + v1 + 誰 + uj1 + 物1 + v2 + ul1 + m1 + v3,老虎聽到狐狸的聲音嚇了一跳,老虎聽到誰的聲音嚇了一跳,狐狸
人1 + d1 + v1 + v2 + 人2,誰 + d1 + v1 + v2 + 人2,山羊很想當科學家,誰很想當科學家,山羊
r1 + 人1 + uj1 + 事1 + d1 + v1 + v2,r1 + 人1 + uj1 + 事1 + d1 + v1 + 如何,這樣你的研究才會有用,這樣你的研究才會如何,研究
r1 + uj1 + 人1 + a1 + n1 + v1 + 人2,r1 + uj1 + 人1 + a1 + n1 + v1 + 誰,這裡的小朋友大部分是孤兒,這裡的小朋友大部分是誰,孤兒
r1 + uj1 + 人1 + a1 + n1 + v1 + 人2,r1 + uj1 + 誰 + a1 + n1 + v1 + 人2,這裡的小朋友大部分是孤兒,這裡的誰大部分是孤兒,小朋友
人1 + v1 + 人2,誰 + v1 + 人2,他們沒有父母,誰沒有父母,他們
人1 + v1 + 人2,人1 + v1 + 誰,他們沒有父母,他們沒有誰,父母
人1 + v1 + r1 + p1 + r2 + uj1 + 人2 + v2 + 人3 + uj2 + 人4 + 人5 + v3,誰 + v1 + r1 + p1 + r2 + uj1 + 人2 + v2 + 人3 + uj1 + 人4 + 人5 + v3,院長希望我們把這裡的小朋友當成自己的弟弟妹妹看待,誰希望我們把這裡的小朋友當成自己弟弟妹妹看待,院長
人1 + v1 + r1 + p1 + r2 + uj1 + 人2 + v2 + 人3 + uj2 + 人4 + 人5 + v3,人1 + v1 + 誰 + p1 + r2 + uj1 + 人2 + v2 + 人3 + uj1 + 人4 + 人5 + v3,院長希望我們把這裡的小朋友當成自己的弟弟妹妹看待,院長希望誰把這裡的小朋友當成自己弟弟妹妹看待,院長
人1 + v1 + 人2 + d1 + v2 + 人3 + uj1 + 物1,人1 + v1 + 誰 + d1 + v2 + 人3 + uj1 + 物1,小朋友看見我們就扯扯保母的衣角,小朋友看見誰就扯扯保母的衣角,我們
人1 + v1 + 人2 + d1 + v2 + 人3 + uj1 + 物1,人1 + v1 + 人2 + d1 + v2 + 人3 + uj1 + 什麼,小朋友看見我們就扯扯保母的衣角,小朋友看見我們就扯扯保母的什麼,衣角
人1 + v1 + 人2 + d1 + v2 + 人3 + uj1 + 物1,人1 + v1 + 人2 + d1 + v2 + 誰 + uj1 + 物1,小朋友看見我們就扯扯保母的衣角,小朋友看見我們就扯扯誰的衣角,保母
人1 + v1 + 人2 + d1 + v2 + 人3 + uj1 + 物1,誰 + v1 + 人2 + d1 + v2 + 人3 + uj1 + 物1,小朋友看見我們就扯扯保母的衣角,誰看見我們就扯扯保母的衣角,小朋友
n1 + v1 + 人1 + v2 + v3 + c1 + 人2 + v4 + n2 + uj1,誰 + v1 + 人1 + v2 + v3 + c1 + 人2 + v4 + n2 + uj1,保母說他們是來和你們做朋友的,誰說他們是來和你們做朋友的,他們
v1 + uj1 + 人1 + d1 + v2 + 物1 + v3 + 人2 + uj2 + 物2,v1 + uj1 + 誰 + d1 + v2 + 物1 + v3 + 人2 + uj1 + 物2,可愛的小朋友就伸出小手拉住我們的手,可愛的誰就伸出小手拉住我們手,小朋友
v1 + uj1 + 人1 + d1 + v2 + 物1 + v3 + 人2 + uj2 + 物2,v1 + uj1 + uj1 + 人1 + d1 + v2 + 物1 + v3 + 人2 + 什麼,可愛的小朋友就伸出小手拉住我們的手,可愛的小朋友就伸出小手拉住我們什麼,手
v1 + uj1 + 人1 + d1 + v2 + 物1 + v3 + 人2 + uj2 + 物2,v1 + uj1 + 人1 + d1 + v2 + 什麼 + v3 + 人2 + uj1 + 物2,可愛的小朋友就伸出小手拉住我們的手,可愛的小朋友就伸出什麼拉住我們手,小手
v1 + m1 + 人1 + v2 + ug1 + v3 + v4 + p1 + r1 + s1,v1 + m1 + 誰 + v2 + ug1 + v3 + v4 + p1 + r1 + s1,有一個小女孩跑過來撲在我身上,有一個誰跑過來撲在我身上,小女孩
v1 + m1 + 人1 + v2 + ug1 + v3 + v4 + p1 + r1 + s1,v1 + m1 + 人1 + v2 + ug1 + v3 + v4 + p1 + 誰 + s1,有一個小女孩跑過來撲在我身上,有一個小女孩跑過來撲在誰身上,小女孩
d1 + v1 + v2 + r1 + uj1 + 人1 + r2,d1 + v1 + v2 + r1 + uj1 + 誰 + r2,就像拉著自己的妹妹一樣,就像拉著自己的誰一樣,妹妹
事1 + uj1 + n1 + 人1 + uj2 + n2 + s1 + v1 + v2 + 人2 + v3 + r1 + uj3 + n3,事1 + uj1 + n1 + 誰 + uj1 + n2 + s1 + v1 + v2 + 人2 + v3 + r1 + uj1 + n3,回家的時候我的腦海中浮現出他們渴望有家的樣子,回家的時候誰腦海中浮現出他們渴望有家樣子,我
事1 + uj1 + n1 + 人1 + uj2 + n2 + s1 + v1 + v2 + 人2 + v3 + r1 + uj3 + n3,事1 + uj1 + n1 + 人1 + uj1 + n2 + s1 + v1 + v2 + 誰 + v3 + r1 + uj1 + n3,回家的時候我的腦海中浮現出他們渴望有家的樣子,回家的時候我腦海中浮現出誰渴望有家樣子,他們
人1 + uj1 + v1 + q1 + d1 + p1 + 人2 + uj2 + s1 + v2,人1 + uj1 + v1 + q1 + d1 + p1 + 誰 + uj1 + s1 + v2,小女孩的呼喚聲也在我的耳邊響起,小女孩的呼喚聲也在誰耳邊響起,我
人1 + uj1 + v1 + q1 + d1 + p1 + 人2 + uj2 + s1 + v2,誰 + uj1 + v1 + q1 + d1 + p1 + 人2 + uj1 + s1 + v2,小女孩的呼喚聲也在我的耳邊響起,誰的呼喚聲也在我耳邊響起,小女孩
人1 + d1 + p1 + 人2 + zg1,誰 + d1 + p1 + 人2 + zg1,父母親常對子女說,誰常對子女說,父母親
人1 + d1 + p1 + 人2 + zg1,人1 + d1 + p1 + 誰 + zg1,父母親常對子女說,父母親常對誰說,子女
事1 + v1 + a1 + df1 + v2 + ng1,什麼事情 + v1 + a1 + df1 + v2 + ng1,做人要誠實不要說謊,什麼事情要誠實不要說謊,做人
人1 + d1 + p1 + 人2 + v1,誰 + d1 + p1 + 人2 + v1,老師也常對學生說,誰也常對學生說,老師
人1 + d1 + p1 + 人2 + v1,人1 + d1 + p1 + 誰 + v1,老師也常對學生說,老師也常對誰說,學生
人1 + d1 + v1 + 人2,人1 + d1 + v1 + 誰,我又問母親,我又問誰,母親
人1 + d1 + v1 + 人2,誰 + d1 + v1 + 人2,我又問母親,誰又問母親,我
人1 + a1 + 人2 + d1 + v1 + p1 + 人3 + v2 + n1,誰 + a1 + 人2 + d1 + v1 + p1 + 人1 + v2 + n1,你誠實我就喜歡跟你做朋友,誰誠實我就喜歡跟你做朋友,你
人1 + a1 + 人2 + d1 + v1 + p1 + 人3 + v2 + n1,人1 + a1 + 誰 + d1 + v1 + p1 + 人1 + v2 + n1,你誠實我就喜歡跟你做朋友,你誠實誰就喜歡跟做朋友,我
人1 + d1 + a1 + 人2 + d2 + d3 + v1 + p1 + 人3 + v2 + n1,人1 + d1 + a1 + 誰 + d2 + d1 + v1 + p1 + 人1 + v2 + n1,你不誠實我就不喜歡跟你做朋友,你不誠實誰就喜歡跟做朋友,我
人1 + d1 + a1 + 人2 + d2 + d3 + v1 + p1 + 人3 + v2 + n1,誰 + d1 + a1 + 人2 + d2 + d1 + v1 + p1 + 人1 + v2 + n1,你不誠實我就不喜歡跟你做朋友,誰不誠實我就喜歡跟你做朋友,你
人1 + d1 + nr1 + nr2 + r1 + v1 + a1 + ul1,誰 + d1 + nr1 + nr2 + r1 + v1 + a1 + ul1,我終於明白什麼是誠實了,誰終於明白什麼是誠實了,我
a1 + uj1 + 人1 + d1 + l1 + d2 + v1 + a2 + n1 + d3 + v2 + 人2,a1 + uj1 + 誰 + d1 + l1 + d2 + v1 + a2 + n1 + d2 + v2 + 人1,誠實的人就是說到做到不說假話不騙人,誠實的誰就是說到做到不說假話騙人,人
人1 + v1 + n1 + f1 + uj1 + 人2,誰 + v1 + n1 + f1 + uj1 + 人2,夸父是巨人族裡的英雄,誰是巨人族裡的英雄,夸父
人1 + 事1 + v1 + v2 + uj1 + m1,人1 + 什麼事情 + v1 + v2 + uj1 + m1,他跑步像飛的一樣,他什麼事情像飛的一樣,跑步
人1 + v1 + v2 + v3 + n1,誰 + v1 + v2 + v3 + n1,夸父決定去找太陽,誰決定去找太陽,夸父
人1 + v1 + s1 + uj1 + n1 + 物1,誰 + v1 + s1 + uj1 + n1 + 物1,夸父拿著手上的大木棒,誰拿著手上的大木棒,夸父
人1 + v1 + n1 + uj1 + n2 + v2,誰 + v1 + n1 + uj1 + n2 + v2,他使出全身的力量跑,誰使出全身的力量跑,他
人1 + v1 + y1 + v2 + y2,誰 + v1 + y1 + v1 + y1,他跑啊跑啊,誰跑啊,他
m1 + d1 + p1 + 物1 + vg1 + n1 + ul1,m1 + d1 + p1 + 什麼 + vg1 + n1 + ul1,一下子就把河水喝光了,一下子就把什麼喝光了,河水
人1 + v1 + ul1 + 物1,誰 + v1 + ul1 + 物1,夸父喝光了河水,誰喝光了河水,夸父
人1 + v1 + ul1 + 物1,人1 + v1 + ul1 + 什麼,夸父喝光了河水,夸父喝光了什麼,河水
人1 + v1 + p1 + s1 + uj1 + n1 + 物1,誰 + v1 + p1 + s1 + uj1 + n1 + 物1,夸父丟在身旁的大木棒,誰丟在身旁的大木棒,夸父
m1 + 人1 + d1 + v1 + 物1,m1 + 人1 + d1 + v1 + 什麼,一個和尚很有錢,一個和尚很有什麼,錢
人1 + v1 + c1 + v2 + 物1,誰 + v1 + c1 + v2 + 物1,我想只要有決心,誰想只要有決心,我
人1 + v1 + c1 + v2 + 物1,人1 + v1 + c1 + v2 + 什麼東西,我想只要有決心,我想只要有什麼東西,決心
人1 + d1 + v1 + v2 + v3,誰 + d1 + v1 + v2 + v3,窮和尚就下定決心,誰就下定決心,窮和尚
d1 + v1 + ul1 + 物1 + c1 + 物2,d1 + v1 + ul1 + 什麼東西 + c1 + 物2,只帶了缽和木杖,只帶了什麼東西和木杖,缽
d1 + v1 + ul1 + 物1 + c1 + 物2,d1 + v1 + ul1 + 物1 + c1 + 什麼東西,只帶了缽和木杖,只帶了缽和什麼東西,木杖
人1 + v1 + m1 + 物1,人1 + v1 + m1 + 什麼,他靠著兩條腿,他靠著兩條什麼,腿
人1 + v1 + m1 + 物1,誰 + v1 + m1 + 物1,他靠著兩條腿,誰靠著兩條腿,他
d1 + v1 + 物1,d1 + v1 + 什麼,就拿著缽,就拿著什麼,缽
v1 + m1 + a1 + uj1 + 物1 + v2,v1 + m1 + a1 + uj1 + 什麼 + v2,要一些粗糙的食物吃,要一些粗糙的什麼吃,食物
v1 + m1 + 物1 + v2 + ul1,v1 + m1 + 什麼東西 + v2 + ul1,取得一些經書回來了,取得一些什麼東西回來了,經書
c1 + 人1 + d1 + p1 + 事1,c1 + 人1 + d1 + p1 + 什麼事情,而富和尚還在計畫,而富和尚還在什麼事情,計畫
c1 + 人1 + d1 + p1 + 事1,c1 + 誰 + d1 + p1 + 事1,而富和尚還在計畫,而誰還在計畫,富和尚
vn1 + m1 + 物1,vn1 + m1 + 什麼,出產很多水果,出產很多什麼,水果
v1 + 物1 + c1 + v2 + n1 + 物2,v1 + 物1 + c1 + v2 + n1 + 什麼,打開外皮可以看到白色果肉,打開外皮可以看到白色什麼,果肉
v1 + 物1 + c1 + v2 + n1 + 物2,v1 + 什麼 + c1 + v2 + n1 + 物2,打開外皮可以看到白色果肉,打開什麼可以看到白色果肉,外皮
c1 + s1 + d1 + d2 + 物1,c1 + s1 + d1 + d2 + 什麼,可是世上最獨特的水果,可是世上最獨特的什麼,水果
物1 + a1 + ul1 + m1 + p1 + a2 + uj1 + 物2,什麼東西 + a1 + ul1 + m1 + p1 + a2 + uj1 + 物2,外皮長了一根根尖利的刺,什麼東西長了一根根尖利的刺,外皮
物1 + f1 + v1 + d1 + v2,什麼東西 + f1 + v1 + d1 + v2,榴槤外表並不好看,什麼東西外表並不好看,榴槤
c1 + f1 + uj1 + 物1,c1 + f1 + uj1 + 什麼東西,但是裡面的果肉,但是裡面的什麼東西,果肉
