ID,article,que,rule,que_transfer,ans,ans_word
33,你_人1 的_uj1 歌兒_n1 真好_d1 聽_v1,小鳥的歌兒如何?,人1 + uj1 + n1 + d1 + v1,uj1 + n1 + 如何,人1,你
34,請_v1 你_人1 和_c1 我_人2 一起_m1 唱歌_事1 你_人3 說_v2 好不好_l1,請你和我一起做什麼事?,v1 + 人1 + c1 + 人2 + m1 + 事1 + 人3 + v2 + l1,v1 + 人1 + c1 + 人2 + m1 + 什麼事,事1,唱歌
35,爸爸_人1 說_zg1 他_人2 小_a1 時候_n1 上學_v1 看見_v2 老師_人3 會_v3 向_p1 老師_人4 行禮_v4,爸爸小時候上學看見誰會行禮?,人1 + zg1 + 人2 + a1 + n1 + v1 + v2 + 人3 + v3 + p1 + 人4 + v4,人1 + a1 + n1 + v1 + v2 + 誰 + v3 + v4,人3,老師
37,現在_時1 我_人1 在_p1 泰國_地1 上學_v1,現在我在哪裡上學?,時1 + 人1 + p1 + 地1 + v1,時1 + 人1 + p1 + 哪裡 + v1,地1,泰國
39,明天_時1 是_v1 小方_人1 的_uj1 生日_t1,明天是誰的生日?,時1 + v1 + 人1 + uj1 + t1,時1 + v1 + 誰 + uj1 + t1,人1,小方
40,明天_時1 是_v1 小方_人1 的_uj1 生日_t1,小方的生日是什麼時候?,時1 + v1 + 人1 + uj1 + t1,人1 + uj1 + t1 + v1 + 什麼時候,時1,明天
41,小方_人1 打_v1 電話_n1 給_p1 小亮_人2,小方打電話給誰?,人1 + v1 + n1 + p1 + 人2,人1 + v1 + n1 + p1 + 誰,人2,小亮
42,小方_人1 打_v1 電話_n1 給_p1 小亮_人2,誰打電話給小亮?,人1 + v1 + n1 + p1 + 人2,誰 + v1 + n1 + p1 + 人2,人1,小方
43,小方_人1 說_v1 小亮_人2 明天_時1 是_v2 我_人3 生日_t1 請_v3 你_人4 來_v4 我家_地1 好_a1 嗎_y1,小方請誰來他家?,人1 + v1 + 人2 + 時1 + v2 + 人3 + t1 + v3 + 人4 + v4 + 地1 + a1 + y1,人1 + v3 + 誰 + v4,人2,小亮
45,小亮_人1 說_v1 我_人2 明天_時1 再_d1 告訴_v2 你_人3,小亮說什麼時候告訴你?,人1 + v1 + 人2 + 時1 + d1 + v2 + 人3,人1 + v1 + 什麼時候 + v2 + 人3,時1,明天
46,小方_人1 在_p1 學校_地1 裡_f1 學會_v1 了_ul1 很多_m1 詞語_物1,小方在哪裡學會詞語?,人1 + p1 + 地1 + f1 + v1 + ul1 + m1 + 物1,人1 + p1 + 哪裡 + v1 + 物1,地1,學校
47,小方_人1 在_p1 學校_地1 裡_f1 學會_v1 了_ul1 很多_m1 詞語_物1,小方在學校學會什麼?,人1 + p1 + 地1 + f1 + v1 + ul1 + m1 + 物1,人1 + p1 + 地1 + v1 + 什麼,地1,學校
48,他_人1 聽到_v1 媽媽_人2 說_v2 我_人3 買_v3 了_ul1 一件_m1 新_a1 衣服_物1 很_d1 滿意_v4,媽媽說買了一件什麼很滿意?,人1 + v1 + 人2 + v2 + 人3 + v3 + ul1 + m1 + a1 + 物1 + d1 + v4,人2 + v2 + v3 + ul1 + m1 + 什麼 + d1 + v4,物1,衣服
49,他_人1 聽到_v1 媽媽_人2 說_v2 我_人3 買_v3 了_ul1 一件_m1 新_a1 衣服_物1 很_d1 滿意_v4,誰買了一件新衣服?,人1 + v1 + 人2 + v2 + 人3 + v3 + ul1 + m1 + a1 + 物1 + d1 + v4,誰 + v3 + ul1 + m1 + a1 + 物1,人1,他
51,他_人1 聽到_v1 哥哥_人2 說_zg1 我_人3 跟_p1 校長_人4 一起_m1 照相_v2 很_d1 神氣_a1,哥哥跟誰一起拍照?,人1 + v1 + 人2 + zg1 + 人3 + p1 + 人4 + m1 + v2 + d1 + a1,人2 + p1 + 誰 + m1,人2,哥哥
54,我_人1 做_v1 一條_m1 船_物1 送給_v2 姐姐_人2 坐_v3 姐姐_人3 要_v4 去_v5 看_v6 外婆_人4,我做一條船給誰去看外婆?,人1 + v1 + m1 + 物1 + v2 + 人2 + v3 + 人3 + v4 + v5 + v6 + 人4,人1 + v1 + m1 + 物1 + 誰 + v5 + v6 + 人4,人2,姐姐
55,我_人1 做_v1 一條_m1 船_物1 送給_v2 姐姐_人2 坐_v3 姐姐_人3 要_v4 去_v5 看_v6 外婆_人4,姊姊坐船去看誰?,人1 + v1 + m1 + 物1 + v2 + 人2 + v3 + 人3 + v4 + v5 + v6 + 人4,v3 + 物1 + v5 + v6 + 誰,人2,姐姐
56,我_人1 做_v1 一條_m1 船_物1 送給_v2 哥哥_人2 坐_v3 哥哥_人3 出海_v4 去_v5 打_v6 魚_n1,我做一條船給誰去打魚?,人1 + v1 + m1 + 物1 + v2 + 人2 + v3 + 人3 + v4 + v5 + v6 + n1,人1 + v1 + m1 + 物1 + 誰 + v5 + v6 + n1,人2,哥哥
58,我_人1 做_v1 一條_m1 船_物1 送給_v2 弟弟_人2 坐_v3 弟弟_人3 弟弟_人4 你_人5 要_v4 到_v5 哪裡_r1,弟弟坐船要到哪裡?,人1 + v1 + m1 + 物1 + v2 + 人2 + v3 + 人3 + 人4 + 人5 + v4 + v5 + r1,誰 + 物1 + 人2 + v3 + v4 + v5 + r1,人1,我
61,小方_人1 趕_v1 了_ul1 十頭_m1 牛_物1 在_p1 路上_地1 走_v2,小方趕了幾頭牛?,人1 + v1 + ul1 + m1 + 物1 + p1 + 地1 + v2,人1 + v1 + ul1 + 物1 + 哪裡,地1,路上
62,他_人1 怕_v1 少_a1 了_ul1 牛_物1 一面_m1 走_v2 一面_m2 數_v3,他一面走一面數怕什麼?,人1 + v1 + a1 + ul1 + 物1 + m1 + v2 + m2 + v3,人1 + m1 + v2 + m1 + v3 + v1 + 什麼,物1,牛
65,我家_r1 有_v1 一個_m1 小_a1 院子_地1,我家有一個什麼地方?,r1 + v1 + m1 + a1 + 地1,r1 + v1 + m1 + 什麼地方,地1,院子
66,媽媽_人1 在_p1 院子_地1 裡_f1 掃_v1 地_n1,媽媽在院子裡做什麼?,人1 + p1 + 地1 + f1 + v1 + n1,人1 + p1 + 地1 + f1 + 什麼,地1,院子
67,媽媽_人1 在_p1 院子_地1 裡_f1 掃_v1 地_n1,誰在院子裡掃地?,人1 + p1 + 地1 + f1 + v1 + n1,誰 + p1 + 地1 + f1 + v1 + n1,人1,媽媽
68,爸爸_人1 在_p1 院子_地1 裡_f1 澆_v1 花_物1,爸爸在院子裡做什麼?,人1 + p1 + 地1 + f1 + v1 + 物1,人1 + p1 + 地1 + f1 + 什麼,物1,花
69,爸爸_人1 在_p1 院子_地1 裡_f1 澆_v1 花_物1,誰在院子裡澆花?,人1 + p1 + 地1 + f1 + v1 + 物1,誰 + p1 + 地1 + f1 + v1 + 物1,人1,爸爸
70,我_人1 在_p1 院子_地1 裡_f1 拍_v1 皮球_物1,誰在院子裡拍皮球?,人1 + p1 + 地1 + f1 + v1 + 物1,誰 + p1 + 地1 + f1 + v1 + 物1,人1,我
71,我_人1 在_p1 院子_地1 裡_f1 拍_v1 皮球_物1,我在院子做什麼?,人1 + p1 + 地1 + f1 + v1 + 物1,人1 + p1 + 地1 + 什麼,地1,院子
73,今天_時1 老師_人1 說_v1 了_ul1 一個_m1 笑話_事1,老師說了什麼事?,時1 + 人1 + v1 + ul1 + m1 + 事1,人1 + v1 + ul1 + 什麼事,事1,笑話
74,今天_時1 老師_人1 說_v1 了_ul1 一個_m1 笑話_事1,誰說了一個笑話?,時1 + 人1 + v1 + ul1 + m1 + 事1,誰 + v1 + ul1 + m1 + 事1,人1,老師
75,今天_時1 老師_人1 說_v1 了_ul1 一個_m1 笑話_事1,老師什麼時候說了一個笑話?,時1 + 人1 + v1 + ul1 + m1 + 事1,人1 + 什麼時候 + v1 + ul1 + m1 + 事1,時1,今天
76,有_v1 一個_m1 人_人1 向_p1 畫家_人2 要_v2 一張_m2 畫_物1,向畫家要什麼物品?,v1 + m1 + 人1 + p1 + 人2 + v2 + m2 + 物1,p1 + 人2 + v2 + 什麼物品,物1,畫
77,有_v1 一個_m1 人_人1 向_p1 畫家_人2 要_v2 一張_m2 畫_物1,向誰要一張畫?,v1 + m1 + 人1 + p1 + 人2 + v2 + m2 + 物1,p1 + 誰 + v2 + m2 + 物1,人1,人
78,畫家_人1 送_v1 他_人2 一張_m1 白紙_物1,畫家送他什麼?,人1 + v1 + 人2 + m1 + 物1,人1 + v1 + 人2 + 什麼,物1,白紙
79,畫家_人1 說_v1 我_人2 畫_v2 一頭_m1 牛_n1 在_p1 吃_v3 草_物1,畫家說他畫什麼在吃草?,人1 + v1 + 人2 + v2 + m1 + n1 + p1 + v3 + 物1,人1 + v1 + v2 + 什麼 + p1 + v3 + 物1,物1,草
80,那人_人1 問_v1 草_物1 在_p1 哪裡_r1,那人問什麼在哪裡?,人1 + v1 + 物1 + p1 + r1,人1 + v1 + 什麼 + p1 + r1,物1,草
81,畫家_人1 說_v1 草_物1 被_p1 牛_n1 吃_事1 了_ul1,草被誰吃了?,人1 + v1 + 物1 + p1 + n1 + 事1 + ul1,物1 + p1 + 誰 + 事1 + ul1,人1,畫家
84,老師_人1 說_v1 完_v2 笑話_n1 大家_人2 都_d1 笑_v3 了_ul1,老師說完笑話大家都如何?,人1 + v1 + v2 + n1 + 人2 + d1 + v3 + ul1,人1 + v1 + v2 + n1 + 人2 + d1 + 如何,人2,大家
85,泰國_地1 有_v1 很多_m1 大象_物1,泰國有很多什麼?,地1 + v1 + m1 + 物1,地1 + v1 + m1 + 什麼,物1,大象
86,泰國_地1 有_v1 很多_m1 大象_物1,哪裡有很多大象?,地1 + v1 + m1 + 物1,哪裡 + v1 + m1 + 物1,地1,泰國
87,李爺爺_人1 家_n1 有_v1 三頭_m1 大象_物1,誰家有三頭大象?,人1 + n1 + v1 + m1 + 物1,誰 + n1 + v1 + m1 + 物1,人1,李爺爺
89,爸爸_人1 帶_v1 我_人2 去_v2 李爺爺_人3 家_n1 看_v3 大象_物1,爸爸帶誰去李爺爺家看大象?,人1 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,人1 + v1 + 誰 + v2 + 人3 + n1 + v3 + 物1,人2,我
90,爸爸_人1 帶_v1 我_人2 去_v2 李爺爺_人3 家_n1 看_v3 大象_物1,誰帶我去李爺爺家看大象?,人1 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,誰 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,人1,爸爸
91,爸爸_人1 帶_v1 我_人2 去_v2 李爺爺_人3 家_n1 看_v3 大象_物1,爸爸帶我去看什麼?,人1 + v1 + 人2 + v2 + 人3 + n1 + v3 + 物1,人1 + v1 + 人2 + v2 + v3 + 什麼,物1,大象
92,我_人1 看到_v1 大象_物1 有_v2 一條_m1 長長_a1 的_uj1 鼻子_n1,大象有長長的什麼?,人1 + v1 + 物1 + v2 + m1 + a1 + uj1 + n1,物1 + v2 + a1 + uj1 + 什麼,物1,大象
93,我_人1 看到_v1 大象_物1 有_v2 一條_m1 長長_a1 的_uj1 鼻子_n1,大象的鼻子如何?,人1 + v1 + 物1 + v2 + m1 + a1 + uj1 + n1,物1 + uj1 + n1 + 如何,物1,大象
96,我_人1 喜歡_v1 大象_物1,我喜歡什麼?,人1 + v1 + 物1,人1 + v1 + 什麼,物1,大象
97,開學_v1 了_ul1 我們_人1 走進_v2 學校_地1,開學了我們走進去哪裡?,v1 + ul1 + 人1 + v2 + 地1,v1 + ul1 + 人1 + v2 + 哪裡,地1,學校
98,看到_v1 同學_人1 都_d1 長_v2 高_a1 了_ul1,同學們都如何?,v1 + 人1 + d1 + v2 + a1 + ul1,人1 + d1 + 如何,人1,同學
99,大家_人1 相見_v1 真_d1 開心_a1,大家相見心情如何?,人1 + v1 + d1 + a1,人1 + v1 + 如何,人1,大家
104,下課_v1 了_ul1 我_人1 和_c1 同學_人2 一起_m1 打球_v2,下課了我和誰一起打球?,v1 + ul1 + 人1 + c1 + 人2 + m1 + v2,v1 + ul1 + 人1 + c1 + 誰 + m1 + v2,人2,同學
105,我_人1 和_c1 同學_人2 一起_m1 玩耍_v1,我和誰一起玩耍?,人1 + c1 + 人2 + m1 + v1,人1 + c1 + 誰 + m1 + v1,人2,同學
109,爬到_v1 樹上_地1 吃_v2 葉子_物1,爬到哪裡吃葉子?,v1 + 地1 + v2 + 物1,v1 + 哪裡 + v2 + 物1,地1,樹上
110,爬到_v1 樹上_地1 吃_v2 葉子_物1,爬到樹上吃什麼?,v1 + 地1 + v2 + 物1,v1 + 地1 + v2 + 什麼,物1,葉子
111,爬到_v1 樹上_地1 去_v2 喝水_v3,爬到哪裡去喝水?,v1 + 地1 + v2 + v3,v1 + 哪裡 + v2 + v3,地1,樹上
112,爬到_v1 樹上_地1 去_v2 喝水_v3,爬到樹上去做什麼?,v1 + 地1 + v2 + v3,v1 + 地1 + v2 + 什麼,地1,樹上
115,夏天_時1 的_uj1 晚上_時2,什麼天的晚上?,時1 + uj1 + 時2,什麼 + uj1 + 時2,時1,夏天
116,夏天_時1 的_uj1 晚上_時2,夏天的什麼時候?,時1 + uj1 + 時2,時1 + uj1 + 什麼時候,時2,晚上
117,我們_人1 坐在_v1 院子_地1 裡_f1,我們坐在哪裡?,人1 + v1 + 地1 + f1,人1 + v1 + 哪裡,地1,院子
118,看_v1 天上_地1 的_uj1 星星_物1,看天上的什麼?,v1 + 地1 + uj1 + 物1,v1 + 地1 + uj1 + 什麼,物1,星星
119,看_v1 天上_地1 的_uj1 星星_物1,看哪裡的星星?,v1 + 地1 + uj1 + 物1,v1 + 哪裡 + uj1 + 物1,地1,天上
120,小_a1 星星_物1 在_p1 天空_地1 發出_v1 亮光_n1,小星星在哪裡發出亮光?,a1 + 物1 + p1 + 地1 + v1 + n1,a1 + 物1 + p1 + 哪裡 + v1 + n1,地1,天空
121,小_a1 星星_物1 在_p1 遠_a2 遠_a3 的_uj1 天空_地1,小星星在哪裡?,a1 + 物1 + p1 + a2 + a3 + uj1 + 地1,a1 + 物1 + p1 + 哪裡,地1,天空
124,我_人1 和_c1 弟弟_人2 一起_m1 數_v1,我和誰一起數?,人1 + c1 + 人2 + m1 + v1,人1 + c1 + 誰 + m1 + v1,人2,弟弟
125,下過_v1 雨_物1 太陽_物2 出來_v2 了_ul1,下過雨什麼東西出來了?,v1 + 物1 + 物2 + v2 + ul1,v1 + 物1 + 什麼東西 + v2 + ul1,物2,太陽
126,天空_地1 出現_v1 了_ul1 一道_m1 彩虹_物1,天空出現了什麼?,地1 + v1 + ul1 + m1 + 物1,地1 + v1 + ul1 + 什麼,物1,彩虹
127,美麗_a1 的_uj1 虹_物1,美麗的什麼?,a1 + uj1 + 物1,a1 + uj1 + 什麼,物1,虹
128,彎彎的_z1 像_v1 一座_m1 橋_物1,像一座什麼?,z1 + v1 + m1 + 物1,v1 + m1 + 什麼,物1,橋
129,彎彎的_z1 彩虹_物1 上_f1 有_v1 許多_m1 顏色_n1,彩虹有許多什麼?,z1 + 物1 + f1 + v1 + m1 + n1,物1 + v1 + m1 + 什麼,物1,彩虹
131,是_v1 一座_m1 七色_n1 的_uj1 橋_物1,是一座七色的什麼?,v1 + m1 + n1 + uj1 + 物1,v1 + m1 + n1 + uj1 + 什麼,物1,橋
132,我_人1 要_v1 趕快_d1 把_p1 美麗_a1 的_uj1 彩虹_物1 畫_v2 下來_v3,我要趕快把什麼東西畫下來?,人1 + v1 + d1 + p1 + a1 + uj1 + 物1 + v2 + v3,人1 + v1 + d1 + p1 + 什麼東西 + v2 + v3,物1,彩虹
133,花園_地1 裡_f1 草_n1 綠_a1 了_ul1 花開_v1 了_ul2,什麼地方的花開了?,地1 + f1 + n1 + a1 + ul1 + v1 + ul2,什麼地方 + v1 + ul1,地1,花園
134,媽媽_人1 說_v1 天氣_n1 暖和_a1 了_ul1 春天_時1 來_v2 了_ul2,天氣暖和什麼時候了?,人1 + v1 + n1 + a1 + ul1 + 時1 + v2 + ul2,n1 + a1 + 什麼時候 + ul1,時1,春天
135,媽媽_人1 說_v1 大地_地1 開滿_v2 了_ul1 花_物1 就是_d1 春天_時1 來_v3 了_ul2,大地開滿了花就是什麼時候來了?,人1 + v1 + 地1 + v2 + ul1 + 物1 + d1 + 時1 + v3 + ul2,地1 + v2 + ul1 + 物1 + d1 + 什麼時候 + v3 + ul1,時1,春天
137,爸爸_人1 種_v1 的_uj1 是_v2 松樹_物1,誰種松樹?,人1 + v1 + uj1 + v2 + 物1,誰 + v1 + 物1,人1,爸爸
138,爸爸_人1 種_v1 的_uj1 是_v2 松樹_物1,爸爸種什麼?,人1 + v1 + uj1 + v2 + 物1,人1 + v1 + 什麼,物1,松樹
139,他_人1 說_v1 松樹_物1 不怕_c1 風雨_物2 活得_v2 長_a1,松樹不怕什麼?,人1 + v1 + 物1 + c1 + 物2 + v2 + a1,物1 + c1 + 什麼,物1,松樹
140,我_人1 種_v1 了_ul1 山茶花_物1,我種了什麼?,人1 + v1 + ul1 + 物1,人1 + v1 + ul1 + 什麼,物1,山茶花
141,我_人1 種_v1 了_ul1 山茶花_物1,誰種了山茶花?,人1 + v1 + ul1 + 物1,誰 + v1 + ul1 + 物1,人1,我
142,弟弟_人1 要_v1 種_v2 香蕉_物1,弟弟種了什麼?,人1 + v1 + v2 + 物1,人1 + v2 + 什麼,物1,香蕉
143,弟弟_人1 要_v1 種_v2 香蕉_物1,誰要種香蕉?,人1 + v1 + v2 + 物1,誰 + v1 + v2 + 物1,人1,弟弟
144,媽媽_人1 說_v1 你們_人2 種樹_v2 我_人3 來_v3 澆_v4 水_n1,誰澆水?,人1 + v1 + 人2 + v2 + 人3 + v3 + v4 + n1,誰 + v4 + n1,人1,媽媽
146,星期天_時1 的_uj1 下午_時2,星期天的什麼時候?,時1 + uj1 + 時2,時1 + uj1 + 什麼時候,時2,下午
147,星期天_時1 的_uj1 下午_時2,哪天的下午?,時1 + uj1 + 時2,哪天 + uj1 + 時2,時1,星期天
148,媽媽_人1 帶_v1 我_人2 和_c1 弟弟_人3 去_v2 看_v3 大象_人4 表演_v4,媽媽帶我和誰去看大象表演?,人1 + v1 + 人2 + c1 + 人3 + v2 + v3 + 人4 + v4,人1 + v1 + 人2 + c1 + 誰 + v2 + v3 + 人4 + v4,人3,弟弟
149,媽媽_人1 帶_v1 我_人2 和_c1 弟弟_人3 去_v2 看_v3 大象_人4 表演_v4,媽媽帶我和弟弟去看誰表演?,人1 + v1 + 人2 + c1 + 人3 + v2 + v3 + 人4 + v4,人1 + v1 + 人2 + c1 + 人3 + v2 + v3 + 誰 + v4,人4,大象
150,大象_人1 用_v1 鼻子_物1 拿_v2 起_v3 彩色筆_物2 畫_v4 圖_物3,大象用什麼拿起彩色筆?,人1 + v1 + 物1 + v2 + v3 + 物2 + v4 + 物3,人1 + v1 + 什麼 + v2 + v3 + 物2,物1,鼻子
151,大象_人1 用_v1 鼻子_物1 拿_v2 起_v3 彩色筆_物2 畫_v4 圖_物3,大象用鼻子拿起什麼東西?,人1 + v1 + 物1 + v2 + v3 + 物2 + v4 + 物3,人1 + v1 + 物1 + v2 + v3 + 什麼東西,物2,彩色筆
152,大象_人1 用_v1 鼻子_物1 拿_v2 起_v3 彩色筆_物2 畫_v4 圖_物3,大象用彩色筆做什麼?,人1 + v1 + 物1 + v2 + v3 + 物2 + v4 + 物3,人1 + v1 + 物2 + 什麼,物1,鼻子
153,大象_人1 用_v1 鼻子_物1 拿_v2 起_v3 彩色筆_物2 畫_v4 圖_物3,誰用彩色筆畫圖?,人1 + v1 + 物1 + v2 + v3 + 物2 + v4 + 物3,誰 + v1 + 物2 + v4 + 物3,人1,大象
155,有_v1 的_uj1 大象_人1 跟著_v2 音樂_n1 跳舞_v3,誰跟著音樂跳舞?,v1 + uj1 + 人1 + v2 + n1 + v3,誰 + v2 + n1 + v3,人1,大象
157,一邊_d1 跳舞_v1 一邊_d2 向_p1 大家_人1 要_v2 香蕉_物1 吃_v3,向大家要什麼吃?,d1 + v1 + d2 + p1 + 人1 + v2 + 物1 + v3,p1 + 人1 + v2 + 什麼 + v3,物1,香蕉
158,媽媽_人1 買_v1 了_ul1 香蕉_物1 拿_v2 給_p1 大象_人2,媽媽買了什麼拿給大象?,人1 + v1 + ul1 + 物1 + v2 + p1 + 人2,人1 + v1 + ul1 + 什麼 + v2 + p1 + 人2,物1,香蕉
159,媽媽_人1 買_v1 了_ul1 香蕉_物1 拿_v2 給_p1 大象_人2,媽媽買了香蕉拿給誰?,人1 + v1 + ul1 + 物1 + v2 + p1 + 人2,人1 + v1 + ul1 + 物1 + v2 + p1 + 誰,人2,大象
160,大象_人1 拿到_v1 香蕉_物1 就_d1 向_p1 媽媽_人2 點_m1 點頭_v2,大象拿到香蕉向誰點頭?,人1 + v1 + 物1 + d1 + p1 + 人2 + m1 + v2,人1 + v1 + 物1 + p1 + 誰 + m1,人2,媽媽
165,看見_v1 了_ul1 一個_m1 水瓶_物1,看見了什麼東西?,v1 + ul1 + m1 + 物1,v1 + ul1 + 什麼東西,物1,水瓶
166,水瓶_物1 裡_f1 只有_c1 一點點_m1 水_物2 瓶口_n1 又_d1 小_a1,水瓶的瓶口如何?,物1 + f1 + c1 + m1 + 物2 + n1 + d1 + a1,物1 + n1 + 如何,物1,水瓶
167,他_人1 喝_vg1 不到_v1 瓶_物1 裡_f1 的_uj1 水_物2,他喝不到瓶裡的什麼?,人1 + vg1 + v1 + 物1 + f1 + uj1 + 物2,人1 + vg1 + v1 + 物1 + f1 + uj1 + 什麼,物2,水
168,他_人1 把_p1 許多_m1 小_a1 石子_物1 放到_v1 水瓶_物2 裡_f1,他把什麼放進水瓶裡?,人1 + p1 + m1 + a1 + 物1 + v1 + 物2 + f1,人1 + p1 + 什麼 + 物2 + f1,物1,石子
169,水瓶_物1 裡_f1 的_uj1 水_物2 升高_v1 了_ul1,水瓶的水如何?,物1 + f1 + uj1 + 物2 + v1 + ul1,物1 + uj1 + 物2 + 如何,物2,水
170,小方_人1 在_p1 學校_地1 裡_f1,小方在哪裡?,人1 + p1 + 地1 + f1,人1 + p1 + 哪裡,地1,學校
171,小方_人1 在_p1 學校_地1 裡_f1,誰在學校裡?,人1 + p1 + 地1 + f1,誰 + p1 + 地1 + f1,人1,小方
172,學會_v1 了_ul1 很多_m1 詞語_物1,學會了很多什麼?,v1 + ul1 + m1 + 物1,v1 + ul1 + m1 + 什麼,物1,詞語
173,現在_時1 他_人1 很_d1 注意_v1 聽_v2 大家_人2 說_v3 的_uj1 話_n1,現在很注意大家的什麼?,時1 + 人1 + d1 + v1 + v2 + 人2 + v3 + uj1 + n1,時1 + d1 + v1 + 人2 + uj1 + 什麼,時1,現在
174,他_人1 聽到_v1 媽媽_人2 說_v2 我_人3 買_v3 了_ul1 一件_m1 新_a1 衣服_物1 很_d1 滿意_v4,媽媽買了什麼?,人1 + v1 + 人2 + v2 + 人3 + v3 + ul1 + m1 + a1 + 物1 + d1 + v4,人2 + v3 + ul1 + 什麼,物1,衣服
175,他_人1 聽到_v1 媽媽_人2 說_v2 我_人3 買_v3 了_ul1 一件_m1 新_a1 衣服_物1 很_d1 滿意_v4,誰買了一件新衣服?,人1 + v1 + 人2 + v2 + 人3 + v3 + ul1 + m1 + a1 + 物1 + d1 + v4,誰 + v3 + ul1 + m1 + a1 + 物1,人1,他
176,他_人1 聽到_v1 爸爸_人2 說_zg1 我_人3 做_v2 完_v3 一件_m1 事_事1 很_zg2 得意_v4,爸爸做什麼事很滿意?,人1 + v1 + 人2 + zg1 + 人3 + v2 + v3 + m1 + 事1 + zg2 + v4,人2 + v2 + 什麼事 + zg2,事1,事
177,他_人1 聽到_v1 哥哥_人2 說_zg1 我_人3 跟_p1 校長_人4 一起_m1 照相_事1 很_d1 神氣_a1,哥哥跟誰一起照相很神氣?,人1 + v1 + 人2 + zg1 + 人3 + p1 + 人4 + m1 + 事1 + d1 + a1,人2 + p1 + 誰 + m1 + 事1 + d1 + a1,人2,哥哥
